ID,Name,Size,MRP,Sale Price,URL
180,Medisynth Pilen Forte Drop,30 ml,₹175,₹159,https://www.1mg.com/otc/medisynth-pilen-forte-drop-otc375718
181,SBL Bio-Combination 17 Tablet,25 gm,₹110,₹103,https://www.1mg.com/otc/sbl-bio-combination-17-tablet-otc331065
182,Allen A87 Creatinine & Blood Urea Drop,30 ml,₹170,₹163,https://www.1mg.com/otc/allen-a87-creatinine-blood-urea-drop-otc330464
183,SBL Justicia Adhatoda Mother Tincture Q,30 ml,₹105,₹98,https://www.1mg.com/otc/sbl-justicia-adhatoda-mother-tincture-q-otc338444
184,SBL Guatteria Gaumeri Mother Tincture Q,30 ml,₹330,₹251,https://www.1mg.com/otc/sbl-guatteria-gaumeri-mother-tincture-q-otc746024
185,SBL Acidum Phosphoricum Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-200-ch-otc345638
186,SBL Pulsatilla Nigricans Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-pulsatilla-nigricans-dilution-30-ch-otc338190
187,SBL Aspidosperma Quebracho Mother Tincture Q,30 ml,₹220,₹194,https://www.1mg.com/otc/sbl-aspidosperma-quebracho-mother-tincture-q-otc338516
188,SBL Sulphur Dilution 200 CH,30 ml,₹115,₹108,https://www.1mg.com/otc/sbl-sulphur-dilution-200-ch-otc338173
189,Dr. Reckeweg Carbo Veg Dilution 200 CH,11 ml,₹170,₹136,https://www.1mg.com/otc/dr.-reckeweg-carbo-veg-dilution-200-ch-otc335766
190,ADEL 28 Plevent Drop,20 ml,₹310,₹266,https://www.1mg.com/otc/adel-28-plevent-drop-otc326092
191,SBL Mullein Ear Drop,10 ml,₹310,MRP₹65,https://www.1mg.com/otc/sbl-mullein-ear-drop-otc328981
192,Bakson's Homeopathy Tonsil Aid Tablet,200 tablets,₹500,₹415,https://www.1mg.com/otc/bakson-s-homeopathy-tonsil-aid-tablet-otc386768
193,SBL Echinacea Angustifolia Mother Tincture Q,30 ml,₹220,₹211,https://www.1mg.com/otc/sbl-echinacea-angustifolia-mother-tincture-q-otc338488
194,Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,20 gm,₹200,₹173,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-20-bc-20-tablet-otc326263
195,Essentia Aurea Gold Drop,30 ml,₹200,₹182,https://www.1mg.com/otc/essentia-aurea-gold-drop-otc326134
196,SBL Carbo Vegetabilis Dilution 200 CH,30 ml,₹115,₹109,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-200-ch-otc338207
197,SBL Drops No. 4 (For BP),30 ml,₹185,₹178,https://www.1mg.com/otc/sbl-drops-no.-4-for-bp-otc329038
198,Wheezal Hekla Lava Tooth Powder,100 gm,₹130,₹122,https://www.1mg.com/otc/wheezal-hekla-lava-tooth-powder-otc438662
199,SBL Caladium Seguinum Dilution 30 CH,30 ml,₹100,₹84,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-30-ch-otc346065
200,SBL Cholesterinum Trituration Tablet 3X,25 gm,₹175,₹131,https://www.1mg.com/otc/sbl-cholesterinum-trituration-tablet-3x-otc339005
201,Bakson's Homeopathy Homoeopathic Formula 'D' Tablet,75 tablets,₹215,₹170,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-d-tablet-otc358328
202,Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,500 ml,₹375,₹323,https://www.1mg.com/otc/dr-willmar-schwabe-india-dizester-digestive-tonic-sugar-free-otc492426
203,Bakson B33 Cough Drop,30 ml,₹185,₹133,https://www.1mg.com/otc/bakson-b33-cough-drop-otc388080
204,SBL Drops No. 8 ( For Allergic Rhinitis),30 ml,₹185,₹155,https://www.1mg.com/otc/sbl-drops-no.-8-for-allergic-rhinitis-otc339777
205,Dr. Reckeweg Arnica Mont Dilution 200 CH,11 ml,₹170,₹160,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-200-ch-otc335897
206,SBL Calendula Officinalis Mother Tincture Q,30 ml,₹105,₹101,https://www.1mg.com/otc/sbl-calendula-officinalis-mother-tincture-q-otc338509
207,Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,30 ml,₹110,₹85,https://www.1mg.com/otc/dr-willmar-schwabe-india-terminalia-arjuna-mother-tincture-q-otc391598
208,Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,30 ml,₹110,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-crataegus-oxyacantha-mother-tincture-q-otc390911
209,ADEL 17 Glautaract Drop,20 ml,₹310,₹268,https://www.1mg.com/otc/adel-17-glautaract-drop-otc326103
210,SBL Silicea Dilution 200 CH,30 ml,₹115,₹75,https://www.1mg.com/otc/sbl-silicea-dilution-200-ch-otc338177
211,SBL Bio-Combination 19 Tablet,25 gm,₹110,₹82,https://www.1mg.com/otc/sbl-bio-combination-19-tablet-otc331068
212,SBL Avena Sativa Mother Tincture Q,30 ml,₹105,₹101,https://www.1mg.com/otc/sbl-avena-sativa-mother-tincture-q-otc338515
213,SBL Tranquil Tablet,25 gm,₹165,₹150,https://www.1mg.com/otc/sbl-tranquil-tablet-otc326115
214,Dr. Reckeweg Bio-Combination 17 (BC 17) Tablet,20 gm,₹200,₹188,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-17-bc-17-tablet-otc326268
215,SBL Ginkgo Biloba Mother Tincture Q,30 ml,₹220,₹200,https://www.1mg.com/otc/sbl-ginkgo-biloba-mother-tincture-q-otc338479
216,ADEL 39 Apo-Sciatica Drop,20 ml,₹295,₹277,https://www.1mg.com/otc/adel-39-apo-sciatica-drop-otc326085
217,Dr. Reckeweg Magnesium Phosphoricum Biochemic Tablet 6X,20 gm,₹200,₹188,https://www.1mg.com/otc/dr.-reckeweg-magnesium-phosphoricum-biochemic-tablet-6x-otc327878
218,Dr. Reckeweg R51 Thyroid Intoxication Drop,22 ml,₹285,₹251,https://www.1mg.com/otc/dr.-reckeweg-r51-thyroid-intoxication-drop-otc327416
219,Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,30 ml,₹125,₹74,https://www.1mg.com/otc/dr-willmar-schwabe-india-passiflora-incarnata-mother-tincture-q-otc391475
220,Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-dilution-30-ch-otc372354
221,Dr. Reckeweg R43 Bronchial Drop,22 ml,₹285,₹254,https://www.1mg.com/otc/dr.-reckeweg-r43-bronchial-drop-otc326030
222,Bakson's Homeopathy Hite Aid Tablet,75 tablets,₹215,₹180,https://www.1mg.com/otc/bakson-s-homeopathy-hite-aid-tablet-otc327080
223,Dr. Reckeweg Thuja Occ Dilution 200 CH,11 ml,₹170,₹144,https://www.1mg.com/otc/dr.-reckeweg-thuja-occ-dilution-200-ch-otc331559
224,Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,30 ml,₹320,₹270,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-serrulata-mother-tincture-q-otc391635
225,ADEL 9 Cri-Regen Drop,20 ml,₹310,₹248,https://www.1mg.com/otc/adel-9-cri-regen-drop-otc326114
226,Dr. Reckeweg Calc Fluor Dilution 30 CH,11 ml,₹310,MRP₹145,https://www.1mg.com/otc/dr.-reckeweg-calc-fluor-dilution-30-ch-otc326872
227,New Life Aller-N Drop,30 ml,₹120,₹116,https://www.1mg.com/otc/new-life-aller-n-drop-otc325848
228,SBL Nixocid Syrup,500 ml,₹305,₹280,https://www.1mg.com/otc/sbl-nixocid-syrup-otc325887
229,SBL Acidum Phosphoricum Mother Tincture Q,30 ml,₹125,₹110,https://www.1mg.com/otc/sbl-acidum-phosphoricum-mother-tincture-q-otc338535
230,Dr. Reckeweg R23 Eczema Drop,22 ml,₹285,₹245,https://www.1mg.com/otc/dr.-reckeweg-r23-eczema-drop-otc326060
231,Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,30 ml,₹110,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-vulgaris-mother-tincture-q-otc390805
232,Dr Willmar Schwabe India Fucus Vesiculosus Mother Tincture Q,30 ml,₹150,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-fucus-vesiculosus-mother-tincture-q-otc390987
233,Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,200 ml,₹200,₹188,https://www.1mg.com/otc/wheezal-arnica-hair-n-scalp-treatment-homeopathic-medicine-otc339198
234,SBL Hamamelis Virginica Mother Tincture Q,30 ml,₹150,₹131,https://www.1mg.com/otc/sbl-hamamelis-virginica-mother-tincture-q-otc338477
235,ADEL 2 Apo-Ham Drop,20 ml,₹310,₹260,https://www.1mg.com/otc/adel-2-apo-ham-drop-otc327734
236,Lord's Ylo Tablet,50 tablets,₹150,₹141,https://www.1mg.com/otc/lord-s-ylo-tablet-otc357512
237,ADEL 12 Dercut Drop,20 ml,₹310,₹269,https://www.1mg.com/otc/adel-12-dercut-drop-otc326110
238,Bangalore Bio-Plasgens Soundarya Complexion Cream,30 gm,₹110,₹105,https://www.1mg.com/otc/bangalore-bio-plasgens-soundarya-complexion-cream-otc388383
239,SBL Kali Bichromicum Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-kali-bichromicum-dilution-30-ch-otc338319
240,Haslab Drox 24 Sciatec Drop,30 ml,₹170,₹160,https://www.1mg.com/otc/haslab-drox-24-sciatec-drop-otc339527
241,Bakson's Homeopathy Spondy Aid Drop,30 ml,₹175,₹123,https://www.1mg.com/otc/bakson-s-homeopathy-spondy-aid-drop-otc326059
242,SBL Diaboherb Capsule,30 ml,₹500,₹450,https://www.1mg.com/otc/sbl-diaboherb-capsule-otc329033
243,Hapdco Marks Go Cream,25 gm,₹110,₹92,https://www.1mg.com/otc/hapdco-marks-go-cream-otc350392
244,Medisynth Jondila Sugar Free Syrup,200 ml,₹170,₹162,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
245,SBL Fucus Vesiculosus Mother Tincture Q,30 ml,₹150,₹140,https://www.1mg.com/otc/sbl-fucus-vesiculosus-mother-tincture-q-otc338484
246,SBL Pulsatilla Nigricans Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-pulsatilla-nigricans-dilution-200-ch-otc338189
247,SBL Cephalandra Indica Mother Tincture Q,30 ml,₹105,₹101,https://www.1mg.com/otc/sbl-cephalandra-indica-mother-tincture-q-otc338504
248,SBL AF-Tabs Tablet,25 gm,₹165,₹155,https://www.1mg.com/otc/sbl-af-tabs-tablet-otc328992
249,SBL Vertefine Drop,30 ml,₹150,₹127,https://www.1mg.com/otc/sbl-vertefine-drop-otc328991
250,SBL Thuja Occidentalis Mother Tincture Q,30 ml,₹150,₹110,https://www.1mg.com/otc/sbl-thuja-occidentalis-mother-tincture-q-otc338408
251,ADEL 36 Pollon Drop,20 ml,₹310,₹270,https://www.1mg.com/otc/adel-36-pollon-drop-otc325883
252,SBL Ruta Graveolens Dilution 200 CH,30 ml,₹115,₹112,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-200-ch-otc348620
253,Bakson's Homeopathy Biocombination 7 Tablet,30 ml,₹720,₹696,https://www.1mg.com/otc/bakson-s-homeopathy-biocombination-7-tablet-otc695069
254,Dr. Reckeweg Biochemic Combination 25 (BC 25) Tablet,20 gm,₹200,₹185,https://www.1mg.com/otc/dr.-reckeweg-biochemic-combination-25-bc-25-tablet-otc326257
255,Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,30 ml,₹110,₹103,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-mother-tincture-q-otc391561
256,Haslab Laxyalo Caplet,30 ml,₹45,₹41,https://www.1mg.com/otc/haslab-laxyalo-caplet-otc793319
257,Bakson's Homeopathy Natrum Sulphuricum Biochemic Tablet 6X,30 ml,₹720,₹700,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-sulphuricum-biochemic-tablet-6x-otc695564
258,Bakson's Homeopathy Kof Aid Tablet,200 tablets,₹500,₹377,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-tablet-otc386761
259,SBL Arnica Montana Herbal Shampoo With Conditioner,200 ml,₹500,MRP₹180,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-conditioner-otc330953
260,Bakson's Homeopathy Ferrum Phosphoricum Biochemic Tablet 6X,200 ml,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-ferrum-phosphoricum-biochemic-tablet-6x-otc695145
261,Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,30 ml,₹110,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-withania-somnifera-aswagandha-mother-tincture-q-otc391463
262,Dr. Reckeweg Belladonna Dilution 30 CH,11 ml,₹145,₹136,https://www.1mg.com/otc/dr.-reckeweg-belladonna-dilution-30-ch-otc326889
263,Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,30 ml,₹275,₹264,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-mother-tincture-q-otc453360
264,SBL Urtica Urens Mother Tincture Q,30 ml,₹105,₹98,https://www.1mg.com/otc/sbl-urtica-urens-mother-tincture-q-otc338407
265,SBL Antimonium Tartaricum Dilution 30 CH,30 ml,₹100,₹93,https://www.1mg.com/otc/sbl-antimonium-tartaricum-dilution-30-ch-otc338380
266,Dr. Reckeweg R95 Alfalfa Tonic,250 ml,₹685,₹620,https://www.1mg.com/otc/dr.-reckeweg-r95-alfalfa-tonic-otc336743
267,Wheezal Jaborandi Hair Treatment Oil,110 ml,₹160,₹125,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc339194
268,Dr. Reckeweg R55 All Kinds Of Injuries Drop,22 ml,₹285,₹248,https://www.1mg.com/otc/dr.-reckeweg-r55-all-kinds-of-injuries-drop-otc326013
269,SBL Homeocal Tablet,450 gm,₹865,₹692,https://www.1mg.com/otc/sbl-homeocal-tablet-otc812926
270,SBL Drops No. 1 (For Hair Care),30 ml,₹185,₹155,https://www.1mg.com/otc/sbl-drops-no.-1-for-hair-care-otc325890
271,Wheezal Power Up+ Drop,30 ml,₹400,₹341,https://www.1mg.com/otc/wheezal-power-up-drop-otc339243
272,Allen Snorid Drop,30 ml,₹170,₹151,https://www.1mg.com/otc/allen-snorid-drop-otc330383
273,Dr. Reckeweg Cholesterinum Trituration Tablet 3X,20 gm,₹255,₹241,https://www.1mg.com/otc/dr.-reckeweg-cholesterinum-trituration-tablet-3x-otc326942
274,SBL Allium Cepa Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-allium-cepa-dilution-30-ch-otc338390
275,Dr. Reckeweg Bryonia Alba Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-30-ch-otc326880
276,SBL Causticum Dilution 200 CH,30 ml,₹115,₹108,https://www.1mg.com/otc/sbl-causticum-dilution-200-ch-otc346123
277,Dr. Reckeweg R17 Glandular Enlargement Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r17-glandular-enlargement-drop-otc327479
278,Dr Willmar Schwabe India Ruck-Pain,30 ml,₹195,₹170,https://www.1mg.com/otc/dr-willmar-schwabe-india-ruck-pain-otc784648
279,SBL Drops No. 3 (For UTI),30 ml,₹185,₹141,https://www.1mg.com/otc/sbl-drops-no.-3-for-uti-otc329039
280,Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,30 ml,₹515,₹458,https://www.1mg.com/otc/dr-willmar-schwabe-india-hydrastis-canadensis-mother-tincture-q-otc391074
281,Dr Willmar Schwabe India Alpha - MP Drop,30 ml,₹125,₹114,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-mp-drop-otc326047
282,Bakson's Homeopathy Calci Aid Tablet,200 tablets,₹500,₹375,https://www.1mg.com/otc/bakson-s-homeopathy-calci-aid-tablet-otc502732
283,Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,30 ml,₹220,₹190,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-mother-tincture-q-otc390782
284,SBL Natrum Muriaticum Biochemic Tablet 6X,25 gm,₹110,₹102,https://www.1mg.com/otc/sbl-natrum-muriaticum-biochemic-tablet-6x-otc330938
285,Dr. Reckeweg R89 Hair Care Drop (30ml Each),25 gm,₹620,₹558,https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-30ml-each-otc870813
286,Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop,22 ml,₹285,₹248,https://www.1mg.com/otc/dr.-reckeweg-r53-acne-vulgaris-and-pimples-drop-otc326016
287,Wheezal Mixture Syrup,450 ml,₹270,₹230,https://www.1mg.com/otc/wheezal-mixture-syrup-otc715775
288,SBL Kali Muriaticum Biochemic Tablet 6X,25 gm,₹110,₹107,https://www.1mg.com/otc/sbl-kali-muriaticum-biochemic-tablet-6x-otc331049
289,SBL Calcarea Fluorica Biochemic Tablet 12X,25 gm,₹110,₹99,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-12x-otc331088
290,Dr Willmar Schwabe Germany Damiaplant Drop,20 ml,₹575,₹535,https://www.1mg.com/otc/dr-willmar-schwabe-germany-damiaplant-drop-otc325893
291,SBL Hypericum Perforatum Dilution 200 CH,30 ml,₹115,₹97,https://www.1mg.com/otc/sbl-hypericum-perforatum-dilution-200-ch-otc347950
292,SBL Natrum Phosphoricum Biochemic Tablet 6X,25 gm,₹110,₹105,https://www.1mg.com/otc/sbl-natrum-phosphoricum-biochemic-tablet-6x-otc330946
293,ADEL 3 Apo-Hepat Drop,20 ml,₹310,₹267,https://www.1mg.com/otc/adel-3-apo-hepat-drop-otc326120
294,Dr. Reckeweg Bryonia Alba Dilution 200 CH,11 ml,₹170,₹151,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-200-ch-otc335840
295,ADEL 6 Apo-Strum Drop,20 ml,₹310,₹270,https://www.1mg.com/otc/adel-6-apo-strum-drop-otc326117
296,SBL Mercurius Solubilis Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-mercurius-solubilis-dilution-30-ch-otc338313
297,Dr Willmar Schwabe India Topi Thuja Cream,25 gm,₹80,₹60,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-thuja-cream-otc327365
298,Dr Willmar Schwabe India Munostim Globules,10 gm,₹125,₹120,https://www.1mg.com/otc/dr-willmar-schwabe-india-munostim-globules-otc326148
299,SBL Apis Mellifica Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-apis-mellifica-dilution-30-ch-otc338377
300,Dr Willmar Schwabe India Topi Berberis Aquifolium Cream,25 gm,₹80,₹56,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-berberis-aquifolium-cream-otc326145
301,SBL Histaminum Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-histaminum-dilution-30-ch-otc348943
302,ADEL 7 Apo-Tuss Drop,20 ml,₹295,₹256,https://www.1mg.com/otc/adel-7-apo-tuss-drop-otc327176
303,Dr. Reckeweg Caladium Seg Dilution 1000 CH,11 ml,₹210,₹206,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-1000-ch-otc335831
304,Dr. Reckeweg Aconitum Napellus Dilution 200 CH,11 ml,₹170,₹160,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-200-ch-otc335450
305,SBL Petroleum Cream,25 gm,₹75,₹66,https://www.1mg.com/otc/sbl-petroleum-cream-otc331003
306,Bakson's Homeopathy AC#9 Tablet,75 tablets,₹215,₹157,https://www.1mg.com/otc/bakson-s-homeopathy-ac-9-tablet-otc502622
307,SBL Ocimum Sanctum Mother Tincture Q,30 ml,₹105,₹99,https://www.1mg.com/otc/sbl-ocimum-sanctum-mother-tincture-q-otc338436
308,ADEL 25 Somcupin Drop,20 ml,₹310,₹270,https://www.1mg.com/otc/adel-25-somcupin-drop-otc326095
309,Dr. Reckeweg Wiesbaden Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-wiesbaden-dilution-30-ch-otc326318
310,SBL Drops No. 7 (For Sinusitis),30 ml,₹185,₹155,https://www.1mg.com/otc/sbl-drops-no.-7-for-sinusitis-otc329040
311,SBL Drops No. 5 (For Cervical Pain),30 ml,₹185,₹170,https://www.1mg.com/otc/sbl-drops-no.-5-for-cervical-pain-otc329043
312,SBL Natrum Muriaticum Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-natrum-muriaticum-dilution-30-ch-otc338310
313,SBL Aesculus Ointment,25 gm,₹80,₹77.6,https://www.1mg.com/otc/sbl-aesculus-ointment-otc330972
314,SBL Aconitum Napellus Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-aconitum-napellus-dilution-200-ch-otc345697
315,Dr Willmar Schwabe India Sabal Pentarkan Drop,30 ml,₹190,₹179,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-pentarkan-drop-otc327652
316,SBL Sleeptite Tablet,25 gm,₹165,₹162,https://www.1mg.com/otc/sbl-sleeptite-tablet-otc329013
317,SBL Agnus Castus Dilution 30 CH,30 ml,₹100,₹95,https://www.1mg.com/otc/sbl-agnus-castus-dilution-30-ch-otc345716
318,Dr. Reckeweg R64 Albuminuria Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r64-albuminuria-drop-otc327393
319,Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,22 ml,₹105,₹93,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-6x-otc695224
320,Dr. Reckeweg Baryta Carb Dilution 30 CH,11 ml,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-baryta-carb-dilution-30-ch-otc328889
321,SBL Calcarea Carbonica Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-200-ch-otc346039
322,Dr. Reckeweg Belladonna Dilution 200 CH,11 ml,₹170,₹160,https://www.1mg.com/otc/dr.-reckeweg-belladonna-dilution-200-ch-otc335881
323,Allen A70 I.B.S.(Irritable Bowel Syndrome) Drop,30 ml,₹170,₹156,https://www.1mg.com/otc/allen-a70-i.b.s.-irritable-bowel-syndrome-drop-otc330218
324,SBL Arnica Montana Herbal Shampoo with TJC,100 ml,₹170,MRP₹110,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329024
325,Boericke and Tafel Anti-Dandruff Shampoo,150 ml,₹145,₹138,https://www.1mg.com/otc/boericke-and-tafel-anti-dandruff-shampoo-otc388285
326,Dr Willmar Schwabe India Jaborandi Mother Tincture Q,30 ml,₹150,₹127,https://www.1mg.com/otc/dr-willmar-schwabe-india-jaborandi-mother-tincture-q-otc391105
327,SBL Histaminum Dilution 200 CH,30 ml,₹115,₹112,https://www.1mg.com/otc/sbl-histaminum-dilution-200-ch-otc348944
328,Dr. Reckeweg Yohimbinum Mother Tincture Q,20 ml,₹390,₹343,https://www.1mg.com/otc/dr.-reckeweg-yohimbinum-mother-tincture-q-otc327117
329,SBL Sulphur Ointment,25 gm,₹75,₹69.8,https://www.1mg.com/otc/sbl-sulphur-ointment-otc331007
330,Dr. Reckeweg Carduus Mar Mother Tincture Q,20 ml,₹270,₹254,https://www.1mg.com/otc/dr.-reckeweg-carduus-mar-mother-tincture-q-otc327435
331,Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,20 gm,₹175,₹165,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-tablet-1x-otc327283
332,Dr. Reckeweg Arsenicum Album 200 CH Dilution,11 ml,₹170,₹151,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-200-ch-dilution-otc328907
333,SBL Chionanthus Virginica Mother Tincture Q,30 ml,₹365,₹274,https://www.1mg.com/otc/sbl-chionanthus-virginica-mother-tincture-q-otc338499
334,Bakson B22 Sinus Drop,30 ml,₹185,₹155,https://www.1mg.com/otc/bakson-b22-sinus-drop-otc388057
335,Dr. Reckeweg R19 Glandular Drops for Men,22 ml,₹285,₹260,https://www.1mg.com/otc/dr.-reckeweg-r19-glandular-drops-for-men-otc327102
336,SBL Hydrangea Arborescens Mother Tincture Q,30 ml,₹150,₹111,https://www.1mg.com/otc/sbl-hydrangea-arborescens-mother-tincture-q-otc338476
337,Dr. Reckeweg R72 Pancreas Drop,22 ml,₹285,₹248,https://www.1mg.com/otc/dr.-reckeweg-r72-pancreas-drop-otc327370
338,SBL AT-Tabs Ant- Traumatic Tablet,25 gm,₹165,₹155,https://www.1mg.com/otc/sbl-at-tabs-ant-traumatic-tablet-otc328994
339,Bjain Terminalia Arjuna Mother Tincture Q,100 ml,₹195,₹122,https://www.1mg.com/otc/bjain-terminalia-arjuna-mother-tincture-q-otc445317
340,SBL Stobal Cough Syrup Sugar Free,180 ml,₹185,₹175,https://www.1mg.com/otc/sbl-stobal-cough-syrup-sugar-free-otc473006
341,Wheezal Jaborandi Hair Treatment Oil,200 ml,₹255,₹180,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc536941
342,Dr. Reckeweg Vita-C 15 Sedative Nerve Tonic,250 ml,₹740,₹695,https://www.1mg.com/otc/dr.-reckeweg-vita-c-15-sedative-nerve-tonic-otc325996
343,Wheezal Jaborandi Hair Treatment Oil,500 ml,₹425,₹325,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc536942
344,SBL Silicea Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-silicea-dilution-30-ch-otc338178
345,SBL Sulphur Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-sulphur-dilution-30-ch-otc338174
346,SBL Andrographis Paniculata Mother Tincture Q,30 ml,₹105,₹89,https://www.1mg.com/otc/sbl-andrographis-paniculata-mother-tincture-q-otc338522
347,Dr. Reckeweg R57 Pulmonary Tonic,22 ml,₹285,₹246,https://www.1mg.com/otc/dr.-reckeweg-r57-pulmonary-tonic-otc327411
348,Dr. Reckeweg China Dilution 30 CH,11 ml,₹145,₹112,https://www.1mg.com/otc/dr.-reckeweg-china-dilution-30-ch-otc326837
349,Bakson's Homeopathy Homoeopathic Formula P Tablet,200 tablets,₹500,₹375,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-p-tablet-otc502902
350,SBL Scalptone Tablet,450 gm,₹865,₹598,https://www.1mg.com/otc/sbl-scalptone-tablet-otc812932
351,Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,30 ml,₹105,₹98,https://www.1mg.com/otc/dr-willmar-schwabe-india-nux-vomica-dilution-30-ch-otc394792
352,SBL Silicea Biochemic Tablet 6X,25 gm,₹110,₹105,https://www.1mg.com/otc/sbl-silicea-biochemic-tablet-6x-otc368309
353,SBL Swertia Chirata Mother Tincture Q,30 ml,₹150,₹127,https://www.1mg.com/otc/sbl-swertia-chirata-mother-tincture-q-otc338416
354,SBL Fraxinus Americana Mother Tincture Q,30 ml,₹330,₹280,https://www.1mg.com/otc/sbl-fraxinus-americana-mother-tincture-q-otc338485
355,ADEL 64 Mundipur Uric Acid Drop,20 ml,₹330,MRP₹310,https://www.1mg.com/otc/adel-64-mundipur-uric-acid-drop-otc662025
356,ADEL 21 Proscenat Drop,20 ml,₹295,₹277,https://www.1mg.com/otc/adel-21-proscenat-drop-otc326098
