,Name,Brand,Key Ingredients,Benifits,Rating,No_of_Rating
134,Hapdco Aqui Plus Cream,HAPDCO,Very effective against acne(Pimples) and blackheads,"Beneficial in case of acne, pimples, dermatosis, psoriasis, warts",4.3,558 Ratings
135,Wheezal Mel-X Melasma Tablet,Wheezal Homeo Pharma,Caulophyllum,Helpful in pigmentation disorders,4,197 Ratings
136,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
137,Wheezal Hekla Lava Dental Cream,Wheezal Homeo Pharma,Helps in reducing free radical activity and preventing oxidative stress and damage,Helps in teeth strengthening,4.5,656 Ratings
138,Lord's Ylo Tablet,Lord's Homoeopathic Laboratory Pvt Ltd,Facilitates regular bowel movements,Effective laxative tablets for constipation relief,4.5,113 Ratings
139,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
140,SBL Berberis Aquifolium Mother Tincture Q,SBL Pvt Ltd,The formula can help alleviate headaches with acidity and nausea,Facilitates help in psychological issues,4.4,348 Ratings
141,Dr. Reckeweg Testes Siccati Trituration Tablet 3X,Dr Reckeweg & Co,This product promotes the overall well-being and health,Helps maintain men's reproductive health,4.3,476 Ratings
142,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
143,SBL Magnesia Phosphorica Biochemic Tablet 6X,SBL Pvt Ltd,The formulation helps relieve dysentery with cramp-like pains and flatulent colic,Helps relieve nerve and muscle pain,4.7,744 Ratings
144,SBL Carbo Vegetabilis Dilution 30 CH,SBL Pvt Ltd,The dilution can help reduce hair fall after severe illness,Relieves gum swelling and ulcers,4.6,1248 Ratings
145,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
146,SBL Carduus Marianus Mother Tincture Q,SBL Pvt Ltd,Primarily used to correct disorders of the liver caused due to alcohol abuse,It can help support liver health,4.5,291 Ratings
147,SBL Bio-Combination 21 Tablet,SBL Pvt Ltd,"Calcarea phosphorica 3x HPI, Ferrum phosphoricum 3x HPI In equal proportion, Excipients q. s. to 1 tablet of 100mg",Helps manage teething troubles,4.6,361 Ratings
148,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
149,SBL FP-Tabs Tablet,SBL Pvt Ltd,Ratanhia HPI,"Relieves itching, pain and swelling related to piles and anal fissures",4.4,528 Ratings
150,SBL Rauwolfia Serpentina Mother Tincture Q,SBL Pvt Ltd,The formula can help regulate high blood pressure and its associated symptoms,It helps in reducing high blood pressure and its associated symptoms,4.6,488 Ratings
151,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
152,SBL Calendula Cream,SBL Pvt Ltd,"Useful for open wounds, ulcers",Helps treat cuts and open wounds,4.7,663 Ratings
153,SBL Bio-Combination 25 Tablet,SBL Pvt Ltd,Natrum phosphoricum,"Helps relieve acidity, flatulence and indigestion",4.7,546 Ratings
154,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
155,SBL Aconitum Napellus Dilution 30 CH,SBL Pvt Ltd,Extract Of The Plant Monkshood,Manages concerns associated with physical and mental health,4.6,790 Ratings
156,Dr. Reckeweg V-C 15 Forte Tonic,Dr Reckeweg & Co,"Acid phosphor, Citrus medica Iimonum, Cocculus, Ginseng, Helonias, Sepia",Helps in dealing with nervous exhaustion,4.4,137 Ratings
157,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
158,SBL Homeocal Tablet,SBL Pvt Ltd,Calcerea carbonica 3x,Safe to use formulation for osteoporosis,4.6,606 Ratings
159,SBL Five Phos Tablet 6X,SBL Pvt Ltd,"Calcarea Phosphorica – 3x, Kali Phosphorica – 3x, Ferrum Phosphoricum – 3x, Magnesia Phosphorica – 3x, Natrum Phosphorica – 3x",Relieves stress and fatigue,4.6,605 Ratings
160,Bakson's Homeopathy Tonsil Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Mercurius iodatus ruber (Merc. Bin Iodatus) 6x, Kali muriaticum 3x, Belladonna 3x, Baryta carbonica 6x, Ferrum phosphoricum 3x",Tonsil Aid Tablets deal with inflammation and pain in the tonsils,4.5,163 Ratings
161,New Life Bach Flower Rescue Remedy 30,New Life Laboratories Pvt Ltd,Relieves stress and tension,Soothes the nerves and helps to relax,4.4,827 Ratings
162,SBL Lycopodium Clavatum Dilution 200 CH,SBL Pvt Ltd,Lycopodium Clavatum,It is used for bloating and liver complaints,4.5,1286 Ratings
163,Dr. Reckeweg Aconitum Napellus Dilution 30 CH,Dr Reckeweg & Co,Extract of the plant monkshood,Helps in relieving heaviness and burning headache,4.7,578 Ratings
164,Dr. Reckeweg Bio-Combination 21 (BC 21) Tablet,Dr Reckeweg & Co,Calcarea Phosphorica,Provides relief from bleeding gums,4.8,240 Ratings
165,ADEL 4 Apo-Rheum Drop,Adel Pekana Germany,NA,"Useful in case of Osteoarthritis, Rheumatism, muscle and joint pains",4.5,330 Ratings
166,Dr. Reckeweg R2 Essentia Aurea-Gold Drop,Dr Reckeweg & Co,Aconitum,Helps to provide relief in case of painful sensations in the heart,4.7,254 Ratings
167,Dr. Reckeweg Ashwagandha Mother Tincture Q,Dr Reckeweg & Co,Withania Somnifera,Helps improve stress response,4.5,400 Ratings
168,Dr Willmar Schwabe India Phytolacca Berry Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Phytolacca Berry,Regulates the hunger pattern and aids proper digestion,4.3,253 Ratings
169,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
170,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
171,Dr. Reckeweg R8 Jut-U-Sin Cough Syrup,Dr Reckeweg & Co,Belladona,Helps soothe discomfort due to coughing,4.6,187 Ratings
172,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
173,SBL Phytolacca Berry Mother Tincture Q,SBL Pvt Ltd,Improves body metabolism and enhances the digestive system to aid in weight loss and reduce fat from the body,Helps in weight loss and reducing excess fat,4.4,351 Ratings
174,Dr. Reckeweg R18 Kidney And Bladder Drop,Dr Reckeweg & Co,Berberis,Supports kidney health,4.5,243 Ratings
175,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
176,Dr Willmar Schwabe India Chelidonium Majus Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,"It is a good liver remedy and it is used in the management of liver diseases like jaundice, hepatitis, and gall stones",Promotes healthy liver health,4.6,443 Ratings
177,SBL Belladonna Dilution 200 CH,SBL Pvt Ltd,Effective in the treatment of intestinal spasms,Provides relief from issues in the bladder and biliary tract,4.7,1299 Ratings
178,Dr. Reckeweg R29 Vertigo And Syncope Drop,Dr Reckeweg & Co,Argentum nitricum,Can be effective for vertigo,4.5,256 Ratings
179,Dr. Reckeweg Lycopodium Dilution 200 CH,Dr Reckeweg & Co,Lycopodium dilution is used for bloating and liver complaints,Relieves constipation,4.5,886 Ratings
180,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
181,HHP Rheumonil Drop,Hahnemann Homoeo Pharmaceutical Pvt Ltd,Allium Sat,Manages symptoms associated with rheumatism and arthritis,4.3,25 Ratings
182,SBL Hepar Sulphur Dilution 200 CH,SBL Pvt Ltd,Relieves glandular swellings and eruptions,Relieves glandular swellings and eruptions,4.6,729 Ratings
183,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
184,Dr. Reckeweg R3 Heart Drop,Dr Reckeweg & Co,"Cactus helps in managing oppression with symptoms of angina pectoris and strong pulse, suffocation",Helps increase muscular strength,4.6,283 Ratings
185,SBL Ferrum Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,Ferrum Phosphoricum,Works as a restorative tonic,4.7,532 Ratings
186,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
187,SBL Rhus Toxicodendron Dilution 30 CH,SBL Pvt Ltd,Rhus Toxicodendron,Useful in the treatment of eczema and relieves conditions of itchiness and rashes,4.6,1253 Ratings
188,SBL Nixocid Tablet,SBL Pvt Ltd,Naturm phosphoricum,It helps restore enzyme balance,4.6,539 Ratings
189,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
190,Bakson's Homeopathy Natrum Phosphoricum Biochemic Tablet 12X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Natrum phosphoricum,It can help manage nausea and morning sickness,4.3,31 Ratings
191,Dr. Reckeweg R1 Inflammation Drop,Dr Reckeweg & Co,Apis melifica,Possesses anti-inflammatory properties,4.7,277 Ratings
192,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
193,Allen A84 Lipoma Drop,Allen Homoeo & Herbal Products Ltd,It is a good remedy for indurated swellings such as lipomas,It is a good remedy for indurated swellings such as lipomas,4.1,448 Ratings
194,SBL Arnica Gel,SBL Pvt Ltd,Arnica montana,Helps relieve bruises,4.7,443 Ratings
195,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
196,SBL Alfalfa Tonic with Ginseng,SBL Pvt Ltd,Alfalfa,Helps to increase the appetite,4.4,964 Ratings
197,SBL Rite-Hite Tablet,SBL Pvt Ltd,Baryta Carbonica,"Useful for children suffering from anaemia, feeble digestion, growth and development problems",4.3,402 Ratings
198,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
199,Adven Osteodin-Z Oral Drops (25ml Each),Adven Biotech Pvt Ltd,Dulcamara,Has anti-inflammatory properties to reduce inflammation and swelling,4.4,159 Ratings
200,Dr Willmar Schwabe Germany Gastrobin Drop,Dr Willmar Schwabe India Pvt Ltd,Naturm phosphoricum,This drop helps improve stomach ailments,4.6,221 Ratings
201,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
202,SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,SBL Pvt Ltd,Alfalfa Q,Helps to enhance energy levels,4.4,335 Ratings
203,Dr. Reckeweg R14 Nerve And Sleep Drop,Dr Reckeweg & Co,R14 acts differently on various individuals,Aids in improving sleep quality,4.4,293 Ratings
204,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
205,SBL Bio-Combination 20 Tablet,SBL Pvt Ltd,"Calcarea fluorica 3x HPI, Calcarea sulphurica 3x HPI, Kali sulphuricum 3x HPI, Natrum muriaticum 3x HPI, Natrum sulphuricum 3x HPI In equal proportion , Excipients q. s. to 1 tablet of 100mg",Helps manage skin conditions,4.5,457 Ratings
206,Dr. Reckeweg Carbo Veg Dilution 30 CH,Dr Reckeweg & Co,"Relieves flatulence, stomach cramps and indigestion",Helps fight against constipation,4.7,751 Ratings
207,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
208,SBL Arsenicum Album Dilution 200 CH,SBL Pvt Ltd,"Active ingredient: Arsenicum album
Inactive ingredient: Organic sucrose",Helps in treating the increased temperature with marked periodicity,4.6,1434 Ratings
209,SBL FP Ointment,SBL Pvt Ltd,Hamamelis virginica,Helps with haemorrhoids,4.3,395 Ratings
210,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
211,SBL Thuja Roll-On,SBL Pvt Ltd,"Thuja Occidentalis MT ((White Petrolatum, Paraffin andLanoin)",Helps manage fungal overgrowth,4.2,400 Ratings
212,SBL Stobal Cough Syrup,SBL Pvt Ltd,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,4.6,1623 Ratings
213,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
214,SBL Thuja Ointment,SBL Pvt Ltd,Thuja occidentalis MT in an ointment base,Helps prevent skin infections,4.3,447 Ratings
215,SBL Gymnema Sylvestre Mother Tincture Q,SBL Pvt Ltd,Extract of perennial woody vine,It regulates healthy blood pressure,4.7,511 Ratings
216,Bakson's Homeopathy Tonsil Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Mercurius iodatus ruber (Merc. Bin Iodatus) 6x, Kali muriaticum 3x, Belladonna 3x, Baryta carbonica 6x, Ferrum phosphoricum 3x",Tonsil Aid Tablets deal with inflammation and pain in the tonsils,4.5,163 Ratings
217,Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,Antimonium Crudum 1x,Helps to prevent warts and corn,3.9,321 Ratings
218,New Life Bach Flower Rescue Remedy 30,New Life Laboratories Pvt Ltd,Relieves stress and tension,Soothes the nerves and helps to relax,4.4,827 Ratings
219,Dr. Reckeweg Kalmegh Mother Tincture Q,Dr Reckeweg & Co,It helps with the loss of appetite and improves the bile flow as well,It helps with the loss of appetite and improves the bile flow as well,4.7,221 Ratings
220,SBL Tribulus Terrestris Mother Tincture Q,SBL Pvt Ltd,Tribulus Terrestris,Regulates male hormones and restores strength,4.4,358 Ratings
221,SBL Cineraria Maritima Euphrasia Eye Drop,SBL Pvt Ltd,Cineraria Maritima,Helps keep the eye free from infections,4.6,678 Ratings
222,Dr. Reckeweg Nux Vomica Dilution 200 CH,Dr Reckeweg & Co,It is primarily used to manage mood swings and uncontrollable anger,Helps alleviate mood swings and control anger,4.6,1064 Ratings
223,Bakson's Homeopathy Gastro Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Robinia pseudoacacia 3x,Effective tablets for digestion help improve digestion and gut health ,4.5,216 Ratings
224,ADEL 82 Hepat Liver Tonic Drop,Adel Pekana Germany,NA,Helps support liver health and function,4.5,105 Ratings
225,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
226,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
227,Bakson's Homeopathy Kof Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Bryonia Alba 3x,Helps manage common cold and flu-like symptoms,4.4,109 Ratings
228,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
229,Wheezal Mel-X Melasma Cream,Wheezal Homeo Pharma,Alovera,Helpful in pigmentation disorders,4.2,121 Ratings
230,SBL Damiana Mother Tincture Q,SBL Pvt Ltd,Primarily used for the treatment of sexual disorders in men and increases sexual desire,Acts as a sexual stimulant for both men and women,4.3,390 Ratings
231,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
232,Dr. Reckeweg Lycopodium Dilution 30 CH,Dr Reckeweg & Co,Lycopodium dilution is used for bloating and liver complaints,Relieves constipation,4.5,886 Ratings
233,Dr. Reckeweg R6 Influenza Drop,Dr Reckeweg & Co,"Baptisia helps in managing typhoid fever, stupor and lethargy, cold, and irritation of the mucous membranes",Effective in relieving congestions,4.7,192 Ratings
234,Dr. Reckeweg Sulphur Dilution 200,Dr Reckeweg & Co,Sugar of milk,Alleviates stomach disorders,4.5,442 Ratings
235,SBL Ginseng Mother Tincture Q,SBL Pvt Ltd,"Ginseng Mother Tincture Q is useful for treating a number of issues such as weak memory, debility, and muscle ache",Helps to fight stress and improves cognition ability,4.5,255 Ratings
236,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
237,Dr. Reckeweg Rhus Tox Dilution 30 CH,Dr Reckeweg & Co,Provides effective treatment for eczema and relieves conditions of itchiness and rashes,Helps soothe rheumatic and arthritic pains,4.6,1071 Ratings
238,Dr. Reckeweg Syzygium Jamb Mother Tincture Q,Dr Reckeweg & Co,The preparation can help regulate and monitor high blood sugar levels,Helps to manage blood sugar levels,4.7,241 Ratings
239,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
240,Dr Willmar Schwabe India Alpha-Liv Liver Tonic,Dr Willmar Schwabe India Pvt Ltd,It is a well-tolerated drug and can be used for prolonged periods,Manages liver-related problems,4.5,310 Ratings
241,SBL Euphrasia 10% Eye Drop,SBL Pvt Ltd,Euphrasia Officinalis Q,Provides relief from dryness in the eyes and irritation,4.6,462 Ratings
242,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
243,Allen A87 Creatinine & Blood Urea Drop,Allen Homoeo & Herbal Products Ltd,Retention of nitrogenous waste products in the body due to renal dysfunction resulting in high creatinine and urea levels,It can help reduce the nitrogenous waste products in the body,4.6,233 Ratings
244,Wheezal Mel-X Melasma Tablet,Wheezal Homeo Pharma,Caulophyllum,Helpful in pigmentation disorders,4,197 Ratings
245,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
246,SBL Guatteria Gaumeri Mother Tincture Q,SBL Pvt Ltd,It helps to reduce the cholesterol levels,It helps in controlling lipid and lipoprotein abnormalities,4.7,113 Ratings
247,SBL Bio-Combination 17 Tablet,SBL Pvt Ltd,Calcarea fluorica 3x HPI,Helps reduce bleeding,4.5,340 Ratings
248,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
249,New Life NL-3 Blood Cholestrol Drop,New Life Laboratories Pvt Ltd,The formulation helps maintain cholesterol levels,Improves blood circulation,4.5,296 Ratings
250,ADEL 28 Plevent Drop,Adel Pekana Germany,Equisetum arvense 6X,"Supports the liver and gallbladder, and eliminates dyspeptic complaints",4.6,186 Ratings
251,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
252,Bakson's Homeopathy Biocombination 7 Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Calcarea phosphorica,Helps with liver and kidney functions,4.4,16 Ratings
253,SBL Hepar Sulphur Dilution 30 CH,SBL Pvt Ltd,Relieves glandular swellings and eruptions,Relieves glandular swellings and eruptions,4.6,729 Ratings
254,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
255,SBL Justicia Adhatoda Mother Tincture Q,SBL Pvt Ltd,Justicia Adhatoda,Effective remedy for respiratory-related concerns,4.7,354 Ratings
256,Bjain Syzygium Jambolanum Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,Syzgium Jambolanum,It is effective for complaints of small red papules with itching,4.6,377 Ratings
257,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
258,SBL Sulphur Dilution 200 CH,SBL Pvt Ltd,Sugar of milk,This dilution can help improve skin ailments,4.4,1197 Ratings
259,Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,Dr Reckeweg & Co,Calcarea Fluorica,Helps reduce acne breakouts,4.3,219 Ratings
260,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
261,Bakson B33 Cough Drop,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Belladonna,"Unique herbal formulation that are effective bronchi relaxants, expectorants and respiratory demulcents",4.4,129 Ratings
262,SBL Carbo Vegetabilis Dilution 200 CH,SBL Pvt Ltd,The dilution can help reduce hair fall after severe illness,Relieves gum swelling and ulcers,4.6,1248 Ratings
263,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
264,Dr Willmar Schwabe Germany Biofungin Syrup,Dr Willmar Schwabe India Pvt Ltd,"Magnesium borocitricum, Zincum sulfuricum, Cobaltum nitricum, Cuprum aceticum, Manganum aceticum, Acidum formicicum, Acidum tartaricum",Helps relieve fatigue and weakness,4.6,190 Ratings
265,Dr. Reckeweg Calc Fluor Dilution 30 CH,Dr Reckeweg & Co,Calcarea Fluorica,Reduces swelling on the bones,4.4,69 Ratings
266,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
267,SBL Echinacea Angustifolia Mother Tincture Q,SBL Pvt Ltd,The formula can help reduce foul-smelling discharge,It is an excellent remedy for lymphatic inflammation and foul discharges with debility and fatigue ,4.6,344 Ratings
268,SBL Drops No. 4 (For BP),SBL Pvt Ltd,Rauvolfia serpentine,Calms your nerves,4.5,308 Ratings
269,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
270,Dr. Reckeweg Five Phos 6X Tablet,Dr Reckeweg & Co,Recovery from Chronic exhaustive diseases,Recovery from Chronic exhaustive diseases,4.7,230 Ratings
271,SBL Passiflora Incarnata Mother Tincture Q,SBL Pvt Ltd,Passiflora Incarnata,Acts as a mild sedative and can be used to promote sleep in patients suffering from insomnia,4.6,407 Ratings
272,Dr. Reckeweg Arnica Mont Dilution 200 CH,Dr Reckeweg & Co,"Provides effective relief from fainting, dizziness and pain in the head",It helps to restrict bleeding,4.6,552 Ratings
273,Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,Dr Willmar Schwabe India Pvt Ltd,"Foeniculum vulgare is widely used as a carminative, digestive, lactogogue and in managing respiratory and gastrointestinal-related concerns","Useful in acidity, dyspepsia, bloating, deranged digestion and flatulence",4.3,367 Ratings
274,Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,Acidum Nitricum,Addresses problems related to piles,4.3,320 Ratings
275,SBL Aspidosperma Quebracho Mother Tincture Q,SBL Pvt Ltd,The formula stimulates the respiratory centres and increases the oxygen in the blood,It is used for treating disorders associated with the respiratory system,4.5,286 Ratings
276,Wheezal Hekla Lava Tooth Powder,Wheezal Homeo Pharma,Plantago Q,Helps treat dental neuralgia and decaying teeth,4.5,522 Ratings
277,SBL Mullein Ear Drop,SBL Pvt Ltd,"Mullein Flower(Verbascum thapsus) HPI, Acidum benzoicum HPI, Acidum boracicum HPI, Acidum carbolicum HPI, Glycerin HPI, Chloroformum HPI, Excipients q.s. to 100%, Alcohol 20% v/v",Relieves ear pain and inflammation,4.5,528 Ratings
278,SBL Pulsatilla Nigricans Dilution 30 CH,SBL Pvt Ltd,Helpful in treating dry cough with a painful throat,An effective solution for multiple health concerns,4.6,762 Ratings
279,SBL Drops No. 8 ( For Allergic Rhinitis),SBL Pvt Ltd,Allium Cepa,Can help relieve allergic rhinitis,4.4,317 Ratings
280,SBL Silicea Dilution 200 CH,SBL Pvt Ltd,Silicea helps to take care of imperfect assimilation,"A homeopathy solution, safe for consumption",4.5,620 Ratings
281,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
282,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
283,Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Terminalia Arjuna,Improves blood circulation to the heart and also strengthens the cardiac muscles,4.7,212 Ratings
